lncrna-length,mrna-length,lncrna-GC%,mrna-GC%,lncrna-rel_acc_len_ratio,mrna-rel_acc_len_ratio,hybrid_energy(kcal/mol),lncrna_rel_GC_ratio,Target
4320,12019,0.557175926,0.447874199,0.136805556,0.213245694,-305.1,0.4098467220000001,0
9701,3435,0.466343676,0.390393013,0.21750335,0.211935953,-234.1,0.280610087,0
22743,1986,0.440531152,0.7185297079999999,0.187662138,0.095669688,-169.9,0.45077647,1
7282,8702,0.495193628,0.3982992420000001,0.187723153,0.213743967,-321.9,0.310003248,0
10194,3963,0.518246027,0.5036588439999999,0.15636649,0.165026495,-283.0,0.393426968,0
3756,1363,0.479499468,0.677916361,0.126996805,0.101980924,-70.6,0.399689158,1
22743,5865,0.440531152,0.5679454389999999,0.187662138,0.206138107,-523.6,0.378627829,1
3756,1389,0.479499468,0.5687545,0.126996805,0.141108711,-93.6,0.358584518,1
1696,1752,0.483490566,0.572488584,0.182193396,0.212899543,-75.2,0.343705982,1
3756,5553,0.479499468,0.590491626,0.126996805,0.149648838,-219.6,0.388189803,1
1793,8751,0.557724484,0.561421552,0.15170106,0.159867444,-135.4,0.425572572,0
2959,4840,0.378506252,0.34214876,0.24028388,0.251446281,-188.9,0.314218257,0
3756,905,0.479499468,0.574585635,0.126996805,0.108287293,-53.5,0.451967419,1
368,8434,0.54076087,0.58050747,0.095108696,0.13244012300000002,-19.5,0.207070707,0
3531,11062,0.41489663,0.565449286,0.180968564,0.13532815,-247.4,0.343089278,0
10068,3963,0.517977751,0.5036588439999999,0.155145014,0.165026495,-279.9,0.380784308,0
3756,1158,0.479499468,0.586355786,0.126996805,0.155440415,-80.3,0.39804259,1
4320,8349,0.557175926,0.470834831,0.136805556,0.206012696,-252.9,0.399645779,0
19296,509,0.411795191,0.493123772,0.242278192,0.341846758,-85.9,0.276288675,0
9027,509,0.387504154,0.493123772,0.184003545,0.341846758,-60.3,0.33720828700000005,0
1690,12019,0.527810651,0.447874199,0.15976331400000002,0.213245694,-139.4,0.354773409,0
8606,4127,0.379037881,0.431790647,0.188589356,0.21541071,-295.3,0.2952038,1
3873,12019,0.566485928,0.447874199,0.132713659,0.213245694,-265.5,0.371679468,0
3873,6487,0.566485928,0.439648528,0.132713659,0.215045476,-195.9,0.398406745,0
9701,7805,0.466343676,0.574887892,0.21750335,0.133376041,-403.4,0.361867381,0
5822,5865,0.588801099,0.5679454389999999,0.126417039,0.206138107,-262.7,0.443637145,0
4665,7805,0.520257235,0.574887892,0.199571275,0.133376041,-215.5,0.407750043,0
3756,1490,0.479499468,0.613422819,0.126996805,0.09261745,-69.3,0.430300752,1
9701,3420,0.466343676,0.597076023,0.21750335,0.129824561,-242.1,0.389410728,1
10194,5865,0.518246027,0.5679454389999999,0.15636649,0.206138107,-455.1,0.397230576,0
1687,1417,0.557794902,0.618913197,0.12566686400000002,0.110797459,-38.9,0.441674499,1
5156,4407,0.434251358,0.371454504,0.202482545,0.200136147,-218.2,0.315366301,1
3881,11062,0.510177789,0.565449286,0.195310487,0.13532815,-238.1,0.380428393,0
3918,3606,0.529862175,0.409040488,0.219754977,0.245146977,-240.4,0.365951631,0
200,6347,0.53,0.39404443,0.455,0.165905152,-19.5,0.225,0
5714,4518,0.590304515,0.504205401,0.12583129199999998,0.178397521,-193.6,0.432854691,0
4112,1752,0.410262646,0.572488584,0.173881323,0.212899543,-106.1,0.27960961300000003,1
958,16321,0.4582463470000001,0.549108511,0.188935282,0.336989155,-89.4,0.372319347,0
9994,2993,0.5177106260000001,0.575342466,0.15599359599999998,0.17373872399999998,-264.5,0.427471865,0
852,1752,0.483568075,0.572488584,0.15492957699999998,0.212899543,-44.5,0.302433061,1
1793,1752,0.317902956,0.572488584,0.27495817100000003,0.212899543,-71.5,0.234665811,1
4064,12317,0.451771654,0.5545993339999999,0.215551181,0.158561338,-281.6,0.33306035300000003,0
22743,1681,0.440531152,0.637715645,0.187662138,0.10707912,-129.1,0.35752783,1
692,8702,0.645953757,0.3982992420000001,0.180635838,0.213743967,-87.3,0.452105672,0
2356,1057,0.630730051,0.741721854,0.165534805,0.145695364,-88.1,0.5123359279999999,0
8779,8003,0.403462809,0.61589404,0.187037248,0.281144571,-362.6,0.343844272,1
424,514,0.356132075,0.439688716,0.20990566,0.274319066,-20.5,0.173756143,0
3535,16321,0.366619519,0.549108511,0.204526167,0.336989155,-202.6,0.314361647,0
19296,4507,0.411795191,0.368315953,0.242278192,0.193920568,-337.0,0.324296566,0
621,16321,0.449275362,0.549108511,0.156199678,0.336989155,-52.8,0.381746032,0
3756,731,0.479499468,0.641586867,0.126996805,0.082079343,-40.7,0.403153718,1
2646,1752,0.420634921,0.572488584,0.241496599,0.212899543,-95.1,0.32372997,1
362,904,0.458563536,0.710176991,0.212707182,0.109513274,-2.2,0.08730158699999999,0
8606,6487,0.379037881,0.439648528,0.188589356,0.215045476,-313.7,0.300507407,0
10120,4644,0.51798419,0.611541774,0.157213439,0.13178294599999998,-360.5,0.434171135,0
200,2112,0.53,0.419981061,0.455,0.197443182,-21.8,0.29375,0
988,12019,0.555668016,0.447874199,0.149797571,0.213245694,-92.0,0.507969068,0
9701,5359,0.466343676,0.375816384,0.21750335,0.16346333300000002,-324.9,0.34832726,0
368,719,0.54076087,0.4575799720000001,0.095108696,0.292072323,-9.5,0.207070707,0
10120,1240,0.51798419,0.35,0.157213439,0.204032258,-103.2,0.3512288,0
22743,1200,0.440531152,0.6166666670000001,0.187662138,0.174166667,-134.2,0.418481974,1
1367,561,0.350402341,0.659536542,0.307973665,0.101604278,-10.9,0.204761905,0
3788,8702,0.402851109,0.3982992420000001,0.211193242,0.213743967,-227.1,0.307502947,0
988,5359,0.555668016,0.375816384,0.149797571,0.16346333300000002,-72.0,0.496374566,0
8545,3979,0.40514921,0.361648655,0.18502048,0.255591857,-324.0,0.264663232,0
3756,5725,0.479499468,0.55510917,0.126996805,0.155283843,-205.9,0.350294469,1
10194,11062,0.518246027,0.565449286,0.15636649,0.13532815,-471.8,0.382646345,0
22743,2809,0.440531152,0.374510502,0.187662138,0.174439302,-251.2,0.276325021,0
1656,3420,0.574879227,0.597076023,0.125603865,0.129824561,-55.6,0.442439097,1
1547,16321,0.569489334,0.549108511,0.12798965699999998,0.336989155,-62.3,0.418903177,0
4671,8003,0.409762364,0.61589404,0.235067437,0.281144571,-200.4,0.374364991,0
8545,2544,0.40514921,0.5487421379999999,0.18502048,0.18081761,-161.7,0.303612523,1
609,4407,0.5287356320000001,0.371454504,0.159277504,0.200136147,-50.6,0.345614035,1
3918,2723,0.529862175,0.512669849,0.219754977,0.275431509,-192.4,0.420543778,0
8606,509,0.379037881,0.493123772,0.188589356,0.341846758,-54.7,0.357843208,0
5156,11062,0.434251358,0.565449286,0.202482545,0.13532815,-284.4,0.297518629,0
424,8426,0.356132075,0.5553050079999999,0.20990566,0.164372181,-33.9,0.15905069,0
1965,8003,0.49821883,0.61589404,0.125699746,0.281144571,-121.3,0.367118229,0
2891,12019,0.399515738,0.447874199,0.222068488,0.213245694,-249.0,0.28527626300000003,0
4320,4199,0.557175926,0.667778042,0.136805556,0.105025006,-189.0,0.459496059,0
362,1001,0.458563536,0.614385614,0.212707182,0.301698302,-10.3,0.102380952,0
22743,2909,0.440531152,0.4314197320000001,0.187662138,0.15606737699999998,-221.6,0.349209059,1
3992,8751,0.533567134,0.561421552,0.230711423,0.159867444,-311.7,0.381694436,0
8302,2432,0.408335341,0.622944079,0.186942905,0.12664473699999998,-184.5,0.34252319600000003,1
927,8751,0.421790723,0.561421552,0.100323625,0.159867444,-37.1,0.222156085,0
362,719,0.458563536,0.4575799720000001,0.212707182,0.292072323,-10.5,0.12797619,0
8545,1095,0.40514921,0.6575342470000001,0.18502048,0.124200913,-80.5,0.344310055,1
8302,7158,0.408335341,0.411846885,0.186942905,0.197122101,-353.7,0.29972613800000003,0
9027,5359,0.387504154,0.375816384,0.184003545,0.16346333300000002,-281.4,0.279401045,0
2051,8003,0.29985373,0.61589404,0.228668942,0.281144571,-102.8,0.258158739,0
10068,4896,0.517977751,0.525939542,0.155145014,0.158292484,-301.3,0.426495531,0
3756,964,0.479499468,0.6358921160000001,0.126996805,0.12033195,-58.8,0.398541809,1
1471,12317,0.356220258,0.5545993339999999,0.298436438,0.158561338,-161.9,0.249446205,0
362,1079,0.458563536,0.400370714,0.212707182,0.240963855,-13.1,0.08531746,0
129,8003,0.457364341,0.61589404,0.263565891,0.281144571,-20.3,0.222870879,0
1749,6347,0.52544311,0.39404443,0.161806747,0.165905152,-116.5,0.431263938,0
8545,3435,0.40514921,0.390393013,0.18502048,0.211935953,-256.0,0.291852053,0
1698,8305,0.314487633,0.634075858,0.28621908100000004,0.094521373,-103.0,0.256626847,0
4320,7158,0.557175926,0.411846885,0.136805556,0.197122101,-252.9,0.414944439,0
5156,12019,0.434251358,0.447874199,0.202482545,0.213245694,-368.0,0.294466412,0
3475,4840,0.456978417,0.34214876,0.190215827,0.251446281,-215.5,0.351779028,0
22743,475,0.440531152,0.564210526,0.187662138,0.216842105,-78.2,0.372868293,1
684,16321,0.447368421,0.549108511,0.166666667,0.336989155,-51.4,0.308337342,0
8844,8751,0.384328358,0.561421552,0.184758028,0.159867444,-433.4,0.29363183,0
3756,2075,0.479499468,0.436626506,0.126996805,0.165783133,-110.6,0.351309144,1
10120,4447,0.51798419,0.403418035,0.157213439,0.22554531100000005,-341.3,0.365962682,0
1794,8751,0.546822742,0.561421552,0.186733556,0.159867444,-190.6,0.420321815,0
927,4407,0.421790723,0.371454504,0.100323625,0.200136147,-41.2,0.238329726,1
1547,8003,0.569489334,0.61589404,0.12798965699999998,0.281144571,-76.6,0.465253574,0
3132,3449,0.350574713,0.583647434,0.186781609,0.166425051,-124.3,0.35927132799999995,1
368,508,0.54076087,0.5433070870000001,0.095108696,0.253937008,-13.2,0.166666667,0
22743,6477,0.440531152,0.61803304,0.187662138,0.107457156,-469.1,0.391236389,0
3756,3542,0.479499468,0.40203275,0.126996805,0.203839639,-166.0,0.381103854,1
9994,4605,0.5177106260000001,0.452334419,0.15599359599999998,0.176764387,-333.5,0.35530623,0
22743,3610,0.440531152,0.588919668,0.187662138,0.124376731,-317.5,0.361114692,1
1794,8434,0.546822742,0.58050747,0.186733556,0.13244012300000002,-175.5,0.4318403,0
1714,1417,0.577596266,0.618913197,0.121353559,0.110797459,-36.1,0.454960317,1
500,1358,0.36,0.6664212079999999,0.29,0.069955817,-14.0,0.185369318,0
8302,1480,0.408335341,0.618918919,0.186942905,0.354054054,-161.9,0.352079906,0
1794,3606,0.546822742,0.409040488,0.186733556,0.245146977,-152.1,0.451029856,0
200,12317,0.53,0.5545993339999999,0.455,0.158561338,-26.0,0.3616666670000001,0
1714,3979,0.577596266,0.361648655,0.121353559,0.255591857,-68.3,0.405179965,0
5714,8349,0.590304515,0.470834831,0.12583129199999998,0.206012696,-274.3,0.411158134,0
10068,1079,0.517977751,0.400370714,0.155145014,0.240963855,-121.8,0.377742895,1
362,514,0.458563536,0.439688716,0.212707182,0.274319066,-11.1,0.05952381,0
9994,4199,0.5177106260000001,0.667778042,0.15599359599999998,0.105025006,-276.2,0.420663017,0
22743,978,0.440531152,0.598159509,0.187662138,0.1400818,-102.7,0.442771602,1
5822,4743,0.588801099,0.479021716,0.126417039,0.17815728399999994,-230.4,0.475401653,0
3756,2427,0.479499468,0.655953852,0.126996805,0.088174701,-118.9,0.426870628,1
8545,728,0.40514921,0.541208791,0.18502048,0.164835165,-82.6,0.375052725,1
5018,4127,0.365683539,0.431790647,0.137704265,0.21541071,-198.7,0.262505193,1
200,907,0.53,0.6394707829999999,0.455,0.109151047,-10.1,0.0875,0
368,2809,0.54076087,0.374510502,0.095108696,0.174439302,-13.2,0.166666667,0
1957,3207,0.536024527,0.512940443,0.16555953,0.160898036,-105.2,0.376479909,1
2356,16321,0.630730051,0.549108511,0.165534805,0.336989155,-162.5,0.486447704,0
2337,1463,0.46940522,0.650717703,0.171587505,0.171565277,-73.5,0.404704402,1
362,7311,0.458563536,0.522637122,0.212707182,0.164409793,-18.1,0.126984127,0
22743,2022,0.440531152,0.65727003,0.187662138,0.137487636,-187.9,0.410581809,1
3756,2351,0.479499468,0.346660995,0.126996805,0.258188005,-143.8,0.322748596,0
1793,8743,0.317902956,0.484845019,0.27495817100000003,0.15818369,-162.8,0.26564392800000003,0
3992,8003,0.533567134,0.61589404,0.230711423,0.281144571,-213.5,0.431245549,0
9027,4454,0.387504154,0.383924562,0.184003545,0.197350696,-275.0,0.303981086,0
634,2722,0.455835962,0.611682586,0.134069401,0.132990448,-40.6,0.398368607,1
22743,2020,0.440531152,0.5277227720000001,0.187662138,0.142079208,-203.6,0.394456738,1
3756,453,0.479499468,0.5849889620000001,0.126996805,0.152317881,-42.1,0.317687075,1
1595,2351,0.5755485889999999,0.346660995,0.119122257,0.258188005,-47.6,0.40922619,0
1681,12019,0.559190958,0.447874199,0.176680547,0.213245694,-153.5,0.35809345,0
424,719,0.356132075,0.4575799720000001,0.20990566,0.292072323,-12.4,0.19614777100000005,0
4360,8003,0.433027523,0.61589404,0.195642202,0.281144571,-162.8,0.274478801,0
8779,833,0.403462809,0.668667467,0.187037248,0.201680672,-92.0,0.362499159,1
368,1948,0.54076087,0.700205339,0.095108696,0.092402464,-7.6,0.083333333,0
2362,719,0.6303979679999999,0.4575799720000001,0.16426757,0.292072323,-67.2,0.464996115,0
3756,509,0.479499468,0.493123772,0.126996805,0.341846758,-68.5,0.393533075,1
500,1212,0.36,0.742574257,0.29,0.069306931,-26.6,0.26500608800000003,0
2356,6347,0.630730051,0.39404443,0.165534805,0.165905152,-145.7,0.488924999,0
275,1458,0.349090909,0.71399177,0.189090909,0.076131687,-8.3,0.116666667,0
2337,1772,0.46940522,0.545711061,0.171587505,0.163656885,-77.9,0.31102662,1
4665,5359,0.520257235,0.375816384,0.199571275,0.16346333300000002,-202.9,0.386467591,0
8844,6995,0.384328358,0.5601143670000001,0.184758028,0.15968549,-381.3,0.302958801,0
200,2909,0.53,0.4314197320000001,0.455,0.15606737699999998,-16.5,0.269444444,0
8302,12019,0.408335341,0.447874199,0.186942905,0.213245694,-527.5,0.29744339,0
5822,6995,0.588801099,0.5601143670000001,0.126417039,0.15968549,-300.8,0.458598803,0
3992,6738,0.533567134,0.561145741,0.230711423,0.22202434,-208.0,0.399028884,0
3795,4407,0.428722003,0.371454504,0.17997365,0.200136147,-203.6,0.348862178,1
652,8003,0.481595092,0.61589404,0.161042945,0.281144571,-52.5,0.405677656,0
3951,8702,0.5261958999999999,0.3982992420000001,0.192862566,0.213743967,-232.6,0.348059888,0
1367,514,0.350402341,0.439688716,0.307973665,0.274319066,-37.9,0.241609977,0
4989,12317,0.431348968,0.5545993339999999,0.194026859,0.158561338,-249.9,0.286868219,0
9027,1480,0.387504154,0.618918919,0.184003545,0.354054054,-133.1,0.308493538,0
8606,8702,0.379037881,0.3982992420000001,0.188589356,0.213743967,-386.6,0.270098977,0
8844,3606,0.384328358,0.409040488,0.184758028,0.245146977,-285.5,0.325482154,0
4881,1752,0.401557058,0.572488584,0.175578775,0.212899543,-142.6,0.297670529,1
1796,12019,0.4922049,0.447874199,0.200445434,0.213245694,-204.1,0.345620119,0
1419,11062,0.36645525,0.565449286,0.279069767,0.13532815,-113.7,0.233044405,0
1419,16321,0.36645525,0.549108511,0.279069767,0.336989155,-113.1,0.227367621,0
8545,4454,0.40514921,0.383924562,0.18502048,0.197350696,-296.5,0.267795494,1
743,4407,0.440107672,0.371454504,0.137281292,0.200136147,-53.1,0.34219780200000005,1
8545,5553,0.40514921,0.590491626,0.18502048,0.149648838,-351.8,0.296815051,1
200,3244,0.53,0.533292232,0.455,0.159679408,-19.6,0.225,0
10120,6995,0.51798419,0.5601143670000001,0.157213439,0.15968549,-410.3,0.39129145,0
617,4127,0.44732577,0.431790647,0.191247974,0.21541071,-38.2,0.284001303,1
129,904,0.457364341,0.710176991,0.263565891,0.109513274,-11.8,0.201923077,0
5822,5473,0.588801099,0.473597661,0.126417039,0.168828796,-235.8,0.462879106,0
8302,1939,0.408335341,0.605982465,0.186942905,0.115523466,-131.2,0.324798761,1
8606,5361,0.379037881,0.515015855,0.188589356,0.164521544,-284.4,0.261261559,0
518,12317,0.405405405,0.5545993339999999,0.32046332,0.158561338,-85.3,0.305413193,0
22743,2707,0.440531152,0.527521241,0.187662138,0.177318064,-284.1,0.34918371299999995,1
1793,7158,0.317902956,0.411846885,0.27495817100000003,0.197122101,-156.8,0.227842389,0
200,5507,0.53,0.475031778,0.455,0.161249319,-34.5,0.3616666670000001,0
518,8305,0.405405405,0.634075858,0.32046332,0.094521373,-55.4,0.294235752,0
1855,8003,0.567654987,0.61589404,0.12884097,0.281144571,-96.4,0.461702188,0
2754,4127,0.4186637620000001,0.431790647,0.204793028,0.21541071,-171.7,0.312414546,1
8302,2641,0.408335341,0.697841727,0.186942905,0.101476713,-150.8,0.370232146,1
1961,3435,0.626721061,0.390393013,0.159102499,0.211935953,-76.0,0.463863793,0
8545,6738,0.40514921,0.561145741,0.18502048,0.22202434,-349.3,0.323297573,0
2078,4127,0.487487969,0.431790647,0.16506256,0.21541071,-100.8,0.323996265,1
200,480,0.53,0.625,0.455,0.172916667,-20.6,0.269444444,0
924,16321,0.468614719,0.549108511,0.114718615,0.336989155,-54.5,0.390396024,0
22743,2613,0.440531152,0.570991198,0.187662138,0.168006123,-285.0,0.381717137,1
8844,8003,0.384328358,0.61589404,0.184758028,0.281144571,-272.3,0.31607339100000004,0
2362,3435,0.6303979679999999,0.390393013,0.16426757,0.211935953,-104.7,0.471902304,0
22743,632,0.440531152,0.642405063,0.187662138,0.09335443,-48.8,0.478872318,1
1793,4407,0.317902956,0.371454504,0.27495817100000003,0.200136147,-133.4,0.237990259,1
1731,8702,0.573079145,0.3982992420000001,0.138070479,0.213743967,-79.2,0.393526786,0
1367,1212,0.350402341,0.742574257,0.307973665,0.069306931,-33.5,0.24541847,0
22743,3827,0.440531152,0.630258688,0.187662138,0.08178730099999999,-247.4,0.424851257,1
5822,3606,0.588801099,0.409040488,0.126417039,0.245146977,-254.0,0.431073897,0
368,6995,0.54076087,0.5601143670000001,0.095108696,0.15968549,-17.2,0.207070707,0
3756,2618,0.479499468,0.6325439270000001,0.126996805,0.09854851,-131.6,0.396123425,1
852,4127,0.483568075,0.431790647,0.15492957699999998,0.21541071,-71.8,0.301318126,1
2587,8702,0.437959026,0.3982992420000001,0.189022033,0.213743967,-211.6,0.338042323,0
22743,1032,0.440531152,0.6346899220000001,0.187662138,0.117248062,-90.1,0.378253451,1
576,2722,0.4635416670000001,0.611682586,0.140625,0.132990448,-40.7,0.415035273,1
22743,11062,0.440531152,0.565449286,0.187662138,0.13532815,-659.5,0.360820619,1
8302,4246,0.408335341,0.6321243520000001,0.186942905,0.124587847,-229.1,0.32265129800000003,1
275,830,0.349090909,0.601204819,0.189090909,0.121686747,-4.4,0.0,0
3756,2875,0.479499468,0.6553043479999999,0.126996805,0.099826087,-139.0,0.422730988,1
692,8305,0.645953757,0.634075858,0.180635838,0.094521373,-77.1,0.47037834,0
22743,3542,0.440531152,0.40203275,0.187662138,0.203839639,-343.3,0.316839893,1
19296,1079,0.411795191,0.400370714,0.242278192,0.240963855,-160.3,0.359110786,0
200,1700,0.53,0.705294118,0.455,0.103529412,-26.1,0.32708333300000003,0
1687,8702,0.557794902,0.3982992420000001,0.12566686400000002,0.213743967,-92.5,0.407880959,0
1805,1752,0.416620499,0.572488584,0.260941828,0.212899543,-80.1,0.30491414,1
9994,4953,0.5177106260000001,0.6587926510000001,0.15599359599999998,0.130627902,-313.6,0.400782135,0
4139,2351,0.507852138,0.346660995,0.159700411,0.258188005,-150.5,0.360015475,0
8779,917,0.403462809,0.664122137,0.187037248,0.13740458,-82.4,0.386907306,1
22743,6576,0.440531152,0.531173966,0.187662138,0.149635036,-537.9,0.381688783,0
3951,2351,0.5261958999999999,0.346660995,0.192862566,0.258188005,-134.2,0.319159466,0
4177,4407,0.418721571,0.371454504,0.204931769,0.200136147,-186.9,0.287924836,1
3756,1713,0.479499468,0.652656159,0.126996805,0.113835377,-106.8,0.38459269,1
4320,8305,0.557175926,0.634075858,0.136805556,0.094521373,-193.2,0.439084737,0
10120,5710,0.51798419,0.523992995,0.157213439,0.14045534199999998,-337.6,0.392160874,0
1367,1480,0.350402341,0.618918919,0.307973665,0.354054054,-77.8,0.269520924,0
1419,12019,0.36645525,0.447874199,0.279069767,0.213245694,-153.0,0.231971516,0
22743,1318,0.440531152,0.668437026,0.187662138,0.09939302,-115.7,0.443155013,1
5822,2732,0.588801099,0.455710102,0.126417039,0.231698389,-169.5,0.487579666,0
22743,1540,0.440531152,0.65,0.187662138,0.115584416,-133.9,0.365665999,1
8545,1200,0.40514921,0.6166666670000001,0.18502048,0.174166667,-88.6,0.278489739,1
8779,1980,0.403462809,0.603535354,0.187037248,0.116666667,-132.4,0.309866895,1
4245,16321,0.385394582,0.549108511,0.217432273,0.336989155,-225.3,0.304081175,0
1793,509,0.317902956,0.493123772,0.27495817100000003,0.341846758,-38.7,0.290178571,0
3918,5359,0.529862175,0.375816384,0.219754977,0.16346333300000002,-214.9,0.3930177620000001,0
4112,4127,0.410262646,0.431790647,0.173881323,0.21541071,-181.3,0.297161199,1
7282,11062,0.495193628,0.565449286,0.187723153,0.13532815,-354.0,0.358856449,0
8844,8434,0.384328358,0.58050747,0.184758028,0.13244012300000002,-353.6,0.275571054,0
1698,509,0.314487633,0.493123772,0.28621908100000004,0.341846758,-42.6,0.234012515,0
8779,3061,0.403462809,0.5423064360000001,0.187037248,0.15191114,-221.0,0.295097453,1
8498,8702,0.353141916,0.3982992420000001,0.23970346,0.213743967,-409.7,0.271581249,0
1595,1417,0.5755485889999999,0.618913197,0.119122257,0.110797459,-43.8,0.419799499,1
4360,11062,0.433027523,0.565449286,0.195642202,0.13532815,-241.6,0.28205804,0
1735,509,0.614409222,0.493123772,0.195389049,0.341846758,-34.4,0.451984127,0
10120,5156,0.51798419,0.517843289,0.157213439,0.160589604,-322.8,0.35581291299999995,0
1961,509,0.626721061,0.493123772,0.159102499,0.341846758,-33.8,0.418650794,0
3873,8003,0.566485928,0.61589404,0.132713659,0.281144571,-163.9,0.450638332,0
8498,4507,0.353141916,0.368315953,0.23970346,0.193920568,-257.6,0.27073531100000003,0
2659,8003,0.495675066,0.61589404,0.185784129,0.281144571,-207.5,0.430319657,0
2356,2643,0.630730051,0.490351873,0.165534805,0.208853575,-138.4,0.543485334,0
634,4407,0.455835962,0.371454504,0.134069401,0.200136147,-54.1,0.40173561,1
10194,4127,0.518246027,0.431790647,0.15636649,0.21541071,-321.0,0.372358337,0
10068,6477,0.517977751,0.61803304,0.155145014,0.107457156,-340.6,0.381483989,0
200,1417,0.53,0.618913197,0.455,0.110797459,-13.6,0.32708333300000003,0
362,1458,0.458563536,0.71399177,0.212707182,0.076131687,-5.8,0.107142857,0
2356,2505,0.630730051,0.371257485,0.165534805,0.188822355,-75.9,0.422957643,0
7282,4447,0.495193628,0.403418035,0.187723153,0.22554531100000005,-270.3,0.365208626,0
3681,12019,0.3765281170000001,0.447874199,0.228470524,0.213245694,-300.9,0.290444021,0
22743,508,0.440531152,0.5433070870000001,0.187662138,0.253937008,-111.1,0.425110329,1
4245,3979,0.385394582,0.361648655,0.217432273,0.255591857,-202.7,0.295208765,0
362,772,0.458563536,0.663212435,0.212707182,0.101036269,-4.3,0.047619048,0
2337,2240,0.46940522,0.471875,0.171587505,0.146428571,-94.1,0.34356475299999994,1
10120,3785,0.51798419,0.551122853,0.157213439,0.174372523,-277.5,0.400293375,1
617,509,0.44732577,0.493123772,0.191247974,0.341846758,-23.5,0.180387205,0
200,554,0.53,0.5794223829999999,0.455,0.160649819,-13.2,0.269444444,0
8302,4785,0.408335341,0.49968652,0.186942905,0.183908046,-338.3,0.294483586,1
1735,2177,0.614409222,0.4299494720000001,0.195389049,0.181442352,-61.7,0.534093684,0
22743,4447,0.440531152,0.403418035,0.187662138,0.22554531100000005,-455.9,0.354690984,0
9027,2351,0.387504154,0.346660995,0.184003545,0.258188005,-178.6,0.26754510600000003,0
4986,4840,0.431407942,0.34214876,0.192940233,0.251446281,-193.4,0.221351446,0
1362,16321,0.402349486,0.549108511,0.27092511,0.336989155,-81.5,0.323773295,0
901,4127,0.450610433,0.431790647,0.20754717,0.21541071,-83.3,0.344940476,1
1808,8003,0.497787611,0.61589404,0.121128319,0.281144571,-117.1,0.35388410200000003,0
656,16321,0.445121951,0.549108511,0.14176829300000002,0.336989155,-47.4,0.362276335,0
510,8702,0.454901961,0.3982992420000001,0.11372549,0.213743967,-33.5,0.333838384,0
9994,4127,0.5177106260000001,0.431790647,0.15599359599999998,0.21541071,-301.5,0.360261583,0
1731,5359,0.573079145,0.375816384,0.138070479,0.16346333300000002,-72.7,0.427912308,0
992,2722,0.462701613,0.611682586,0.193548387,0.132990448,-49.3,0.367423109,1
3548,16321,0.45518602,0.549108511,0.17080045100000002,0.336989155,-183.0,0.358181511,0
8302,1095,0.408335341,0.6575342470000001,0.186942905,0.124200913,-73.1,0.340192744,1
3347,16321,0.494771437,0.549108511,0.19749029,0.336989155,-219.2,0.364461041,0
4881,16321,0.401557058,0.549108511,0.175578775,0.336989155,-246.7,0.333565684,0
